created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2019-06-17 00:00:00 UTC,2.05,2.98,3.19,24285.00,-58.63,78.84,34.87,2.98,
2019-06-17 00:00:00 UTC,2.05,2.98,3.19,24285.00,-58.63,78.84,34.87,2.98
2019-06-18 00:00:00 UTC,2.51,3.49,3.67,25725.00,-58.73,79.27,35.21,3.49,
2019-06-18 00:00:00 UTC,2.51,3.49,3.67,25725.00,-58.73,79.27,35.21,3.49
2019-06-19 00:00:00 UTC,4.33,5.80,6.01,27165.00,-58.67,79.52,36.18,5.80,
2019-06-19 00:00:00 UTC,4.33,5.80,6.01,27165.00,-58.67,79.52,36.18,5.80
2019-06-20 00:00:00 UTC,1.86,2.45,2.58,28605.00,-58.72,79.46,34.08,2.45,
2019-06-20 00:00:00 UTC,1.86,2.45,2.58,28605.00,-58.72,79.46,34.08,2.45
2019-06-21 00:00:00 UTC,1.98,2.66,2.87,30045.00,-58.26,79.40,32.35,2.66,
2019-06-21 00:00:00 UTC,1.98,2.66,2.87,30045.00,-58.26,79.40,32.35,2.66
2019-06-22 00:00:00 UTC,3.84,5.25,5.64,31485.00,-58.45,80.36,31.28,5.24,
2019-06-22 00:00:00 UTC,3.84,5.25,5.64,31485.00,-58.45,80.36,31.28,5.24
2019-06-23 00:00:00 UTC,9.44,11.93,12.27,32925.00,-59.28,83.36,34.12,11.93,
2019-06-23 00:00:00 UTC,9.44,11.93,12.27,32925.00,-59.28,83.36,34.12,11.93
2019-06-24 00:00:00 UTC,13.08,17.76,18.25,34364.74,-60.11,85.22,37.14,17.50,
2019-06-24 00:00:00 UTC,13.08,17.76,18.25,34364.74,-60.11,85.22,37.14,17.50
2019-06-25 00:00:00 UTC,8.80,12.34,12.76,35804.00,-58.06,85.33,38.95,11.56,
2019-06-25 00:00:00 UTC,8.80,12.34,12.76,35804.00,-58.06,85.33,38.95,11.56
2019-06-26 00:00:00 UTC,5.85,8.71,9.48,37244.00,-57.70,82.75,37.82,8.33,
